algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
quicksort|openmp|mx350|100|9|0,009408|0,0|0,07|OK
quicksort|openmp|mx350|100|10|0,01122|0,0|0,06|OK
quicksort|openmp|mx350|10000|1|1,094912|0,0|4,96|OK
quicksort|openmp|mx350|10000|2|0,998271|0,0|4,56|OK
quicksort|openmp|mx350|10000|3|1,118686|0,0|5,02|OK
quicksort|openmp|mx350|10000|4|0,97903|0,0|4,48|OK
quicksort|openmp|mx350|10000|5|1,078668|0,0|4,87|OK
quicksort|openmp|mx350|10000|6|0,964542|0,0|4,35|OK
quicksort|openmp|mx350|10000|7|1,026194|0,0|4,67|OK
quicksort|openmp|mx350|10000|8|1,049663|0,0|4,8|OK
quicksort|openmp|mx350|10000|9|1,664123|0,0|6,98|OK
quicksort|openmp|mx350|10000|10|1,627479|0,0|6,84|OK
quicksort|openmp|mx350|100000|1|9,914495|0,0|47,22|OK
quicksort|openmp|mx350|100000|2|11,942352|0,0|54,3|OK
quicksort|openmp|mx350|100000|3|15,47267|0,0|68,53|OK
quicksort|openmp|mx350|100000|4|13,774234|0,0|71,34|OK
quicksort|openmp|mx350|100000|5|13,967996|0,0|72,0|OK
quicksort|openmp|mx350|100000|6|15,3647|0,0|88,08|OK
quicksort|openmp|mx350|100000|7|11,688907|0,0|61,09|OK
quicksort|openmp|mx350|100000|8|13,651335|0,0|69,56|OK
quicksort|openmp|mx350|100000|9|11,572444|0,0|57,97|OK
quicksort|openmp|mx350|100000|10|12,398702|0,0|61,85|OK
sssp|cuda|mx350|100000x300000|1|6,250411|0,0|23,99|OK
sssp|cuda|mx350|100000x300000|2|6,854648|0,0|29,22|OK
sssp|cuda|mx350|100000x300000|3|6,795939|0,0|28,35|OK
sssp|cuda|mx350|100000x300000|4|6,105862|0,0|25,83|OK
sssp|cuda|mx350|100000x300000|5|6,168987|0,0|24,55|OK
sssp|cuda|mx350|100000x300000|6|6,351795|0,0|25,98|OK
