sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
bitonic_sort|cuda|aleatorio|4096|2|0,003578|1|256x8
bitonic_sort|cuda|aleatorio|4096|3|0,003576|1|256x8
bitonic_sort|cuda|aleatorio|4096|4|0,003583|1|256x8
bitonic_sort|cuda|aleatorio|4096|5|0,003583|1|256x8
bitonic_sort|cuda|aleatorio|4096|6|0,003583|1|256x8
bitonic_sort|cuda|aleatorio|4096|7|0,003590|1|256x8
bitonic_sort|cuda|aleatorio|4096|8|0,003581|1|256x8
bitonic_sort|cuda|aleatorio|4096|9|0,003571|1|256x8
bitonic_sort|cuda|aleatorio|4096|10|0,003571|1|256x8
bitonic_sort|cuda|aleatorio|16384|1|0,003597|1|256x32
bitonic_sort|cuda|aleatorio|16384|2|0,003599|1|256x32
bitonic_sort|cuda|aleatorio|16384|3|0,003601|1|256x32
bitonic_sort|cuda|aleatorio|16384|4|0,003603|1|256x32
bitonic_sort|cuda|aleatorio|16384|5|0,003589|1|256x32
bitonic_sort|cuda|aleatorio|16384|6|0,003589|1|256x32
bitonic_sort|cuda|aleatorio|16384|7|0,003591|1|256x32
bitonic_sort|cuda|aleatorio|16384|8|0,003632|1|256x32
bitonic_sort|cuda|aleatorio|16384|9|0,003591|1|256x32
bitonic_sort|cuda|aleatorio|16384|10|0,003584|1|256x32
bitonic_sort|cuda|aleatorio|65536|1|0,005588|1|256x128
bitonic_sort|cuda|aleatorio|65536|2|0,005557|1|256x128
bitonic_sort|cuda|aleatorio|65536|3|0,005563|1|256x128
bitonic_sort|cuda|aleatorio|65536|4|0,005566|1|256x128
bitonic_sort|cuda|aleatorio|65536|5|0,005532|1|256x128
bitonic_sort|cuda|aleatorio|65536|6|0,005528|1|256x128
bitonic_sort|cuda|aleatorio|65536|7|0,005564|1|256x128
bitonic_sort|cuda|aleatorio|65536|8|0,005541|1|256x128
bitonic_sort|cuda|aleatorio|65536|9|0,005695|1|256x128
bitonic_sort|cuda|aleatorio|65536|10|0,005541|1|256x128
bitonic_sort|cuda|aleatorio|262144|1|0,003756|1|256x512
