algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
quicksort|openmp|rtx4090|100000|4|1,619944|61,8333|115,41|OK
quicksort|openmp|rtx4090|100000|5|2,75215|105,7743|104,83|OK
quicksort|openmp|rtx4090|100000|6|4,269411|165,7983|80,74|OK
quicksort|openmp|rtx4090|100000|7|1,945257|75,7289|82,88|OK
quicksort|openmp|rtx4090|100000|8|3,735287|143,4817|92,8|OK
quicksort|openmp|rtx4090|100000|9|4,602094|179,1043|90,35|OK
quicksort|openmp|rtx4090|100000|10|5,588166|218,4787|90,57|OK
sssp|cuda|rtx4090|100000x300000|1|0,675171|68,1383|43,11|OK
sssp|cuda|rtx4090|100000x300000|2|0,6667|88,8778|42,87|OK
sssp|cuda|rtx4090|100000x300000|3|0,621653|82,512|33,35|OK
sssp|cuda|rtx4090|100000x300000|4|0,675357|87,6681|39,01|OK
sssp|cuda|rtx4090|100000x300000|5|0,06382|8,4798|5,93|OK
sssp|cuda|rtx4090|100000x300000|6|0,64605|62,4149|38,41|OK
sssp|cuda|rtx4090|100000x300000|7|0,712661|93,0664|43,57|OK
sssp|cuda|rtx4090|100000x300000|8|0,062359|8,4553|6,48|OK
sssp|cuda|rtx4090|100000x300000|9|0,728377|70,1427|44,18|OK
sssp|cuda|rtx4090|100000x300000|10|0,66564|90,4871|41,38|OK
sssp|cuda|rtx4090|10000x30000|1|0,355118|30,4656|19,61|OK
sssp|cuda|rtx4090|10000x30000|2|0,318014|30,523|20,3|OK
sssp|cuda|rtx4090|10000x30000|3|0,334599|33,8648|21,56|OK
sssp|cuda|rtx4090|10000x30000|4|0,322505|32,8117|20,82|OK
sssp|cuda|rtx4090|10000x30000|5|0,331741|33,539|20,75|OK
sssp|cuda|rtx4090|10000x30000|6|0,353809|36,0354|21,75|OK
sssp|cuda|rtx4090|10000x30000|7|0,346881|33,7134|21,41|OK
sssp|cuda|rtx4090|10000x30000|8|0,319861|32,6994|21,64|OK
sssp|cuda|rtx4090|10000x30000|9|0,347937|35,2286|20,77|OK
sssp|cuda|rtx4090|10000x30000|10|0,31783|32,4282|23,38|OK
sssp|cuda|rtx4090|1000x4000|1|0,230559|30,9203|21,43|OK
sssp|cuda|rtx4090|1000x4000|2|0,269593|35,9421|25,85|OK
sssp|cuda|rtx4090|1000x4000|3|0,283593|37,9164|26,99|OK
sssp|cuda|rtx4090|1000x4000|4|0,218454|29,2204|22,83|OK
